id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,iso_region,municipality
45685,25NR,heliport,New Hanover County Sheriff'S Office Heliport,34.326346,-77.896575,35,US,US-NC,Castle Hayne
22369,MS68,closed,Lamb's Field,34.3265,-88.572502,458,US,US-MS,Mantachie
43037,CA64,heliport,Olive View Medical Center Heliport,34.3268013,-118.4449997,1460,US,US-CA,Sylmar
328034,US-0884,small_airport,Bent Hickory Air Ranch Airport,34.328029,-93.259288,550,US,US-AR,Point Cedar
19198,K9M8,small_airport,Sheridan Municipal Airport,34.32839966,-92.35099792,232,US,US-AR,Sheridan
336588,US-1840,closed,Giant Rock International Spaceport,34.32908,-116.38491,2799,US,US-CA,Landers
10039,33CN,heliport,Platform Hillhouse Heliport,34.33110046,-119.6039963,98,US,US-CA,Carpinteria
339451,US-2753,heliport,Dos Cuadras Offshore Oil Platform C Helipad,34.33187,-119.6138,,US,US-CA,Santa Barbara
346887,US-4961,small_airport,EZ Ranch Airport,34.33222,-112.06965,3638,US,US-AZ,Mayer
350035,US-5839,heliport,Chilao Fire Station Heliport,34.33227,-118.02669,5265,US,US-CA,Palmdale
339452,US-2754,heliport,Dos Cuadras Offshore Oil Platform B Helipad,34.3323,-119.62268,,US,US-CA,Santa Barbara
339453,US-2755,heliport,Dos Cuadras Offshore Oil Platform A Helipad,34.33289,-119.63195,,US,US-CA,Santa Barbara
14878,8CA7,heliport,Platform Henry Heliport,34.33309937,-119.560997,111,US,US-CA,Carpinteria
20455,KM78,small_airport,Malvern Municipal Airport,34.33330154,-92.7614975,538,US,US-AR,Malvern
16852,CN47,heliport,Pacoima Dam Heliport,34.334004,-118.397252,2039,US,US-CA,Sylmar
339449,US-2751,heliport,Platform Houchin Helipad,34.33503,-119.55301,,US,US-CA,Carpinteria
7878,14GA,heliport,Latham Creek Heliport,34.33649826,-83.9434967,1120,US,US-GA,Gainesville
13210,6CA5,small_airport,Valley Vista Airport,34.33720016,-116.5800018,3370,US,US-CA,Yucca Valley
345830,US-4577,heliport,Columbus Regional Medical Center Heliport,34.337443,-78.696377,71,US,US-NC,Whiteville
339450,US-2752,heliport,Platform Hogan Helipad,34.33771,-119.54224,,US,US-CA,Carpinteria
18436,K18A,small_airport,Franklin County Airport,34.34009933,-83.13349915,890,US,US-GA,Canon
23298,NM80,small_airport,Quemado Airport,34.34030151,-108.5149994,6917,US,US-NM,Quemado
7356,0MS7,closed,Hale Field,34.342602,-89.143097,346,US,US-MS,Pontotoc
13576,6TX4,small_airport,Whitfield Airport,34.342711,-101.542228,3330,US,US-TX,Kress
350051,US-5854,closed,Black Meadow Landing Airport,34.34696,-114.19319,564,US,US-CA,Parker Dam
24683,SZP,small_airport,Santa Paula Airport,34.34719849,-119.060997,243,US,US-CA,Santa Paula
7352,0MS3,heliport,Baptist Memorial Hospital-North Ms Heliport,34.34780121,-89.51899719,430,US,US-MS,Oxford
8862,21SC,small_airport,Graham Airport,34.34790039,-79.87999725,154,US,US-SC,Darlington
10775,3SC3,heliport,Carolina Pines Regional Medical Center Heliport,34.34939957,-80.103302,228,US,US-SC,Hartsville
354962,US-6854,small_airport,Horney Ranch Airport,34.34947,-104.54438,4631,US,US-NM,Fort Sumner
9411,2GA8,small_airport,Shannon Flight Strip,34.34980011,-85.07689667,677,US,US-GA,Shannon
12264,5AR3,closed,Wabbaseka Flying Service Airport,34.350101,-91.783501,200,US,US-AR,Wabbaseka
339447,US-2749,heliport,Platform Heritage Helipad,34.35029,-120.27919,,US,US-CA,Goleta
3851,KRMG,medium_airport,Richard B Russell Airport,34.3506012,-85.15799713,644,US,US-GA,Rome
